SourceCode,SourceTerm,TargetCode,Comment
134B.,RACE: Caucasian,C,Any other White background
134C.,RACE: Arab,S,Any other ethnic group
134D.,RACE: Chinese,R,Chinese
134E.,RACE: Japanese,S,"Any other ethnic group"
134F.,RACE: Korean,S,"Any other ethnic group"
134G.,RACE: Oriental,S,"Any other ethnic group"
134H.,RACE: Afro-caribbean,M,Caribbean
134I.,RACE: Bangladeshi,K,Bangladeshi
134J.,RACE: Mixed,G,Any other mixed background
134K.,Race: West indian,M,Caribbean
134L.,RACE: Afro-caucasian,E,White and Black African
134M.,RACE: Pakistani,J,Pakistani
134N.,Race: White,C,Any other White background
134O.,RACE: Unknown,,Leave blank
9i...,Ethnic category - 2001 census,,Leave blank
9i0..,British or mixed British - ethnic category 2001 census,A,British
9i00.,White British - ethnic category 2001 census,A,British
9i1..,Irish - ethnic category 2001 census,B,Irish
9i10.,White Irish - ethnic category 2001 census,B,Irish
9i2..,Other White background - ethnic category 2001 census,C,Any other White background
9i20.,English - ethnic category 2001 census,C,Any other White background
9i21.,Scottish - ethnic category 2001 census,C,Any other White background
9i22.,Welsh - ethnic category 2001 census,C,Any other White background
9i23.,Cornish - ethnic category 2001 census,C,Any other White background
9i24.,Northern Irish - ethnic category 2001 census,C,Any other White background
9i25.,Ulster Scots - ethnic category 2001 census,C,Any other White background
9i26.,Cypriot (part not stated) - ethnic category 2001 census,C,Any other White background
9i27.,Greek - ethnic category 2001 census,C,Any other White background
9i28.,Greek Cypriot - ethnic category 2001 census,C,Any other White background
9i29.,Turkish - ethnic category 2001 census,C,Any other White background
9i2A.,Turkish Cypriot - ethnic category 2001 census,C,Any other White background
9i2B.,Italian - ethnic category 2001 census,C,Any other White background
9i2C.,Irish Traveller - ethnic category 2001 census,C,Any other White background
9i2D.,Traveller - ethnic category 2001 census,C,Any other White background
9i2E.,Gypsy/Romany - ethnic category 2001 census,C,Any other White background
9i2F.,Polish - ethnic category 2001 census,C,Any other White background
9i2G.,Baltic Estonian/Latvian/Lithuanian - ethn categ 2001 census,C,Any other White background
9i2H.,Commonwealth (Russian) Indep States - ethn categ 2001 census,C,Any other White background
9i2J.,Kosovan - ethnic category 2001 census,C,Any other White background
9i2K.,Albanian - ethnic category 2001 census,C,Any other White background
9i2L.,Bosnian - ethnic category 2001 census,C,Any other White background
9i2M.,Croatian - ethnic category 2001 census,C,Any other White background
9i2N.,Serbian - ethnic category 2001 census,C,Any other White background
9i2P.,Other republics former Yugoslavia - ethnic categ 2001 census,C,Any other White background
9i2Q.,Mixed Irish and other White - ethnic category 2001 census,C,Any other White background
9i2R.,Oth White European/European unsp/Mixed European 2001 census,C,Any other White background
9i2S.,Other mixed White - ethnic category 2001 census,C,Any other White background
9i2T.,Other White or White unspecified ethnic category 2001 census,C,Any other White background
9i3..,White and Black Caribbean - ethnic category 2001 census,D,White and Black Caribbean
9i4..,White and Black African - ethnic category 2001 census,E,White and Black African
9i5..,White and Asian - ethnic category 2001 census,F,White and Asian
9i6..,Other Mixed background - ethnic category 2001 census,G,Any other mixed background
9i60.,Black and Asian - ethnic category 2001 census,G,Any other mixed background
9i61.,Black and Chinese - ethnic category 2001 census,G,Any other mixed background
9i62.,Black and White - ethnic category 2001 census,G,Any other mixed background
9i63.,Chinese and White - ethnic category 2001 census,G,Any other mixed background
9i64.,Asian and Chinese - ethnic category 2001 census,G,Any other mixed background
9i65.,Other Mixed or Mixed unspecified ethnic category 2001 census,G,Any other mixed background
9i7..,Indian or British Indian - ethnic category 2001 census,H,Indian
9i8..,Pakistani or British Pakistani - ethnic category 2001 census,J,Pakistani
9i9..,Bangladeshi or British Bangladeshi - ethn categ 2001 census,K,Bangladeshi
9iA..,Other Asian background - ethnic category 2001 census,L,Any other Asian background
9iA1.,Punjabi - ethnic category 2001 census,L,Any other Asian background
9iA2.,Kashmiri - ethnic category 2001 census,L,Any other Asian background
9iA3.,East African Asian - ethnic category 2001 census,L,Any other Asian background
9iA4.,Sri Lankan - ethnic category 2001 census,L,Any other Asian background
9iA5.,Tamil - ethnic category 2001 census,L,Any other Asian background
9iA6.,Sinhalese - ethnic category 2001 census,L,Any other Asian background
9iA7.,Caribbean Asian - ethnic category 2001 census,L,Any other Asian background
9iA8.,British Asian - ethnic category 2001 census,L,Any other Asian background
9iA9.,Mixed Asian - ethnic category 2001 census,L,Any other Asian background
9iAA.,Other Asian or Asian unspecified ethnic category 2001 census,L,Any other Asian background
9iB..,Caribbean - ethnic category 2001 census,M,Caribbean
9iC..,African - ethnic category 2001 census,N,African
9iD..,Other Black background - ethnic category 2001 census,P,Any other Black background
9iD0.,Somali - ethnic category 2001 census,P,Any other Black background
9iD1.,Nigerian - ethnic category 2001 census,P,Any other Black background
9iD2.,Black British - ethnic category 2001 census,P,Any other Black background
9iD3.,Mixed Black - ethnic category 2001 census,P,Any other Black background
9iD4.,Other Black or Black unspecified ethnic category 2001 census,P,Any other Black background
9iE..,Chinese - ethnic category 2001 census,R,Chinese
9iF..,Other - ethnic category 2001 census,S,Any other ethnic group
9iF0.,Vietnamese - ethnic category 2001 census,S,"Any other ethnic group"
9iF1.,Japanese - ethnic category 2001 census,S,"Any other ethnic group"
9iF2.,Filipino - ethnic category 2001 census,S,"Any other ethnic group"
9iF3.,Malaysian - ethnic category 2001 census,S,"Any other ethnic group"
9iF4.,Buddhist - ethnic category 2001 census,S,Any other ethnic group
9iF5.,Hindu - ethnic category 2001 census,S,Any other ethnic group
9iF6.,Jewish - ethnic category 2001 census,S,Any other ethnic group
9iF7.,Muslim - ethnic category 2001 census,S,Any other ethnic group
9iF8.,Sikh - ethnic category 2001 census,S,Any other ethnic group
9iF9.,Arab - ethnic category 2001 census,S,Any other ethnic group
9iFA.,North African - ethnic category 2001 census,S,Any other ethnic group
9iFB.,"Mid East (excl Israeli, Iranian & Arab) - eth cat 2001 cens",S,Any other ethnic group
9iFC.,Israeli - ethnic category 2001 census,S,Any other ethnic group
9iFD.,Iranian - ethnic category 2001 census,S,Any other ethnic group
9iFE.,Kurdish - ethnic category 2001 census,S,Any other ethnic group
9iFF.,Moroccan - ethnic category 2001 census,S,Any other ethnic group
9iFG.,Latin American - ethnic category 2001 census,S,Any other ethnic group
9iFH.,South and Central American - ethnic category 2001 census,S,Any other ethnic group
9iFJ.,Mauritian/Seychellois/Maldivian/St Helena eth cat 2001census,S,Any other ethnic group
