"SourceType","TargetCode","Comment"
"Unknown","U","Unknown"
"Assessment","A","Assessment"
"Investigation","I","Investigation"
"Management advice","M","Management advice"
"Patient reassurance","R","Patient reassurance"
"Self Referral","S","Self referral"
"Treatment","T","Treatment"
"Outpatient","O","Outpatient"
"Community Care","C","Community Care"
"Performance of a procedure / operation","P","Performance of a procedure / operation"
"Admission","M","Admission"
"Day Care","D","Day Care"
"Assessment & Education","E","Assessment & Education"
"Domicillary Visit","","Not mapped - tiny number of these"
