SourceCode,SourceTerm,TargetCode,Comment
134B.,"Race: Caucasian",C,"Any other White background"
134C.,"Race: Arab",S,"Any other ethnic group"
134D.,"Race: Chinese",R,Chinese
134E.,"Race: Japanese",L,"Any other Asian background"
134F.,"Race: Korean",L,"Any other Asian background"
134G.,"Race: Oriental",L,"Any other Asian background"
134H.,"Race: Afro-Caribbean",M,Caribbean
134I.,"Race: Bangladeshi",K,Bangladeshi
134J.,"Race: Mixed",G,"Any other mixed background"
134K.,"Race: West indian",M,Caribbean
134L.,"Race: Afro-caucasian",E,"White and Black African"
134M.,"Race: Pakistani",J,Pakistani
134O.,"Race: Unknown",,"Leave blank"
134P.,"Race: [other] or [not stated]",,"Leave blank"
9S...,"Ethnic groups (census)",,"Leave blank"
9S1..,"White - ethnic group",C,"Any other White background"
9S2..,"Black Caribbean",M,Caribbean
9S3..,"Black African",N,African
9S4..,"Black, other, non-mixed origin",P,"Any other Black background"
9S41.,"Black British",P,"Any other Black background"
9S42.,"Black Caribbean &/or W.I. &/or Guyana",M,Caribbean
9S43.,"Black N African &/or Arab &/or Iranian",P,"Any other Black background"
9S44.,"Black - other African country",N,African
9S45.,"Black E Afric Asia &/or Indo-Caribb",P,"Any other Black background"
9S46.,"Black Indian sub-continent",L,"Any other Asian background"
9S47.,"Black - other Asian",P,"Any other Black background"
9S48.,"Black Black - other",P,"Any other Black background"
9S5..,"Black - other, mixed",P,"Any other Black background"
9S51.,"Other Black - Black/White orig",E,"White and Black African"
9S52.,"Other Black - Black/Asian orig",G,"Any other mixed background"
9S6..,Indian,H,Indian
9S7..,Pakistani,J,Pakistani
9S8..,Bangladeshi,K,Bangladeshi
9SA..,"Other ethnic non-mixed (NMO)",S,"Any other ethnic group"
9SA1.,"Brit. ethnic minor. spec.(NMO)",S,"Any other ethnic group"
9SA2.,"Brit. ethnic minor. unsp (NMO)",S,"Any other ethnic group"
9SA3.,"Caribbean I. &/or W.I. &/or Guyana (NMO)",M,Caribbean
9SA4.,"N African Arab &/or Iranian (NMO)",S,"Any other ethnic group"
9SA5.,"Other African countries (NMO)",N,African
9SA6.,"E Afric Asian &/or Indo-Carib (NMO)",L,"Any other Asian background"
9SA7.,"Indian sub-continent (NMO)",L,"Any other Asian background"
9SA8.,"Other Asian (NMO)",L,"Any other Asian background"
9SA9.,"Irish (NMO)",B,Irish
9SAA.,"Greek &/or Greek Cypriot (NMO)",C,"Any other White background"
9SAB.,"Turkish &/or Turkish Cypriot (NMO)",C,"Any other White background"
9SAC.,"Other European (NMO)",C,"Any other White background"
9SAD.,"Other ethnic NEC (NMO)",S,"Any other ethnic group"
9SB..,"Other ethnic, mixed origin",G,"Any other mixed background"
9SB1.,"Other ethnic, Black/White orig",E,"White and Black African"
9SB2.,"Other ethnic, Asian/White orig",F,"White and Asian"
9SB3.,"Other ethnic, mixed white orig",G,"Any other mixed background"
9SB4.,"Other ethnic, other mixed orig",G,"Any other mixed background"
9SZ..,"Ethnic groups (census) NOS",S,"Any other ethnic group"
9T...,"Ethnicity and other related nationality data",,"Leave blank"
9T1..,"New Zealand ethnic groups",S,"Any other ethnic group"
9T11.,"New Zealand European",C,"Any other White background"
9T12.,"Other European in New Zealand",C,"Any other White background"
9T13.,"New Zealand Maori",S,"Any other ethnic group"
9T14.,Samoan,S,"Any other ethnic group"
9T15.,"Cook Island Maori",S,"Any other ethnic group"
9T16.,Tongan,S,"Any other ethnic group"
9T17.,Niuean,S,"Any other ethnic group"
9T18.,Tokelauan,S,"Any other ethnic group"
9T19.,Fijian,S,"Any other ethnic group"
9T1A.,"Other Pacific ethnic group",S,"Any other ethnic group"
9T1B.,"South East Asian",L,"Any other Asian background"
9T1C.,Chinese,R,Chinese
9T1E.,"Other Asian",L,"Any other Asian background"
9T1Y.,"Other New Zealand ethnic group",S,"Any other ethnic group"
9T1Z.,"New Zealand ethnic group NOS",S,"Any other ethnic group"
9i...,"Ethnic category - 2001 census",,"Leave blank"
X76Gp,"Race: Other",S,"Any other ethnic group"
XE0oc,"Race: Not stated",Z,"Not stated"
XE2Nt,"Black Caribbean/W.I./Guyana",M,Caribbean
XE2Nu,"Black N African/Arab/Iranian",P,"Any other Black background"
XE2Nv,"Black East African Asian/Indo-Caribbean",P,"Any other Black background"
XE2Nw,"Caribbean I./W.I./Guyana (NMO)",M,Caribbean
XE2Nx,"N African Arab/Iranian (NMO)",S,"Any other ethnic group"
XE2Ny,"E Afric Asian/Indo-Carib (NMO)",L,"Any other Asian background"
XE2Nz,"Greek/Greek Cypriot (NMO)",C,"Any other White background"
XE2O0,"Turkish/Turkish Cypriot (NMO)",C,"Any other White background"
XM1S3,"Black North African",N,African
XM1S4,"Black Arab",P,"Any other Black background"
XM1S5,"Black Iranian",P,"Any other Black background"
XM1S6,"Black East African Asian",P,"Any other Black background"
XM1S7,"Black Indo-Caribbean",P,"Any other Black background"
XM1S8,"Caribbean Island (NMO)",M,Caribbean
XM1S9,"West Indian (NMO)",M,Caribbean
XM1SA,"Guyana (NMO)",M,Caribbean
XM1SB,"North African Arab (NMO)",S,"Any other ethnic group"
XM1SC,"Iranian (NMO)",S,"Any other ethnic group"
XM1SD,"East African Asian (NMO)",L,"Any other Asian background"
XM1SE,"Indo-Caribbean (NMO)",L,"Any other Asian background"
XM1SF,"Greek (NMO)",C,"Any other White background"
XM1SG,"Greek Cypriot (NMO)",C,"Any other White background"
XM1SH,"Turkish (NMO)",C,"Any other White background"
XM1SI,"Turkish Cypriot (NMO)",C,"Any other White background"
XS7AU,Gypsies,C,"Any other White background"
Xa8Es,Race,,"Leave blank"
XaBEN,"Ethnic groups",,"Leave blank"
XaBz7,"Black West Indian",M,Caribbean
XaBz8,"Black Guyana",M,Caribbean
XaE4A,Vietnamese,L,"Any other Asian background"
XaE4B,"Ethnic group not given - patient refused",Z,"Not stated"
XaFwD,"White British",A,British
XaFwE,"White Irish",B,Irish
XaFwF,"Other white ethnic group",C,"Any other White background"
XaFwG,"Mixed ethnic census group",G,"Any other mixed background"
XaFwH,"Black - ethnic group",P,"Any other Black background"
XaFwy,"Other black ethnic group",P,"Any other Black background"
XaFwz,"Asian - ethnic group",L,"Any other Asian background"
XaFx0,"Other Asian ethnic group",L,"Any other Asian background"
XaFx1,"Other ethnic group",S,"Any other ethnic group"
XaFx2,"Irish traveller",C,"Any other White background"
