SourceCode,SourceTerm,TargetCode,Comment
134..,"Country of origin",,"Leave blank"
1341.,"European origin",,"Leave blank"
1342.,"African origin",,"Leave blank"
1343.,"Asian origin",,"Leave blank"
1344.,"North American origin",,"Leave blank"
1345.,"South American origin",,"Leave blank"
1346.,"Australian origin",,"Leave blank"
1347.,"Indian origin",,"Leave blank"
1348.,"Middle Eastern origin",,"Leave blank"
1349.,"Far Eastern origin",,"Leave blank"
134A.,"West Indian origin",,"Leave blank"
134B.,"RACE: Caucasian",C,"Any other White background"
134C.,"RACE: Arab",S,"Any other ethnic group"
134D.,"RACE: Chinese",R,Chinese
134E.,"RACE: Japanese",L,"Any other Asian background"
134G.,"RACE: Oriental",L,"Any other Asian background"
134H.,"RACE: Afro-caribbean",M,Caribbean
134I.,"RACE: Bangladeshi",K,Bangladeshi
134J.,"RACE: Mixed",G,"Any other mixed background"
134K.,"RACE: West indian",M,Caribbean
134L.,"RACE: Afro-caucasian",E,"White and Black African"
134M.,"RACE: Pakistani",J,Pakistani
134N.,"RACE: White",C,"Any other White background"
134O.,"RACE: Unknown",,"Leave blank"
134P.,"RACE: Not stated",,"Leave blank"
134Z.,"Country of origin NOS",,"Leave blank"
9S...,"Ethnic groups (census)",,"Leave blank"
9S1..,White,C,"Any other White background"
9S10.,"White British",A,British
9S11.,"White Irish",B,Irish
9S12.,"Other white ethnic group",C,"Any other White background"
9S13.,"White Scottish",A,British
9S14.,"Other white British ethnic grp",A,British
9S2..,"Black Caribbean",M,Caribbean
9S3..,"Black African",N,African
9S4..,"Black, other, non-mixed origin",P,"Any other Black background"
9S41.,"Black British",P,"Any other Black background"
9S42.,"Black Caribbean/W.I./Guyana",M,Caribbean
9S43.,"Black N African/Arab/Iranian",P,"Any other Black background"
9S44.,"Black - other African country",N,African
9S45.,"Black E Afric Asia/Indo-Caribb",P,"Any other Black background"
9S46.,"Black Indian sub-continent",L,"Any other Asian background"
9S47.,"Black - other Asian",P,"Any other Black background"
9S48.,"Black Black - other",P,"Any other Black background"
9S5..,"Black - other, mixed",P,"Any other Black background"
9S51.,"Other Black - Black/White orig",E,"White and Black African"
9S52.,"Other Black - Black/Asian orig",G,"Any other mixed background"
9S6..,Indian,H,Indian
9S7..,Pakistani,J,Pakistani
9S8..,Bangladeshi,K,Bangladeshi
9S9..,Chinese,R,Chinese
9SA..,"Other ethnic non-mixed (NMO)",S,"Any other ethnic group"
9SA1.,"Brit. ethnic minor. spec.(NMO)",S,"Any other ethnic group"
9SA2.,"Brit. ethnic minor. unsp (NMO)",S,"Any other ethnic group"
9SA3.,"Caribbean I./W.I./Guyana (NMO)",M,Caribbean
